slug,type,subtype,classification,name_short,name_long,unit,default_value,description,references,range min,range max
P02649,protein,plasma,"Blood Coagulation (GO:0007596), Lipid Transport (GO:0006869), Steroid Metabolic Process (GO:0008202)",APOE,Apolipoprotein E,%,,,,,
P02749,protein,plasma,"Blood Coagulation (GO:0007596), Lipid Transport (GO:0006869), Platelet Degranulation (GO:0002576)",APOH,Beta-2-glycoprotein 1,%,,,,,
O95445,protein,plasma,Lipid Transport (GO:0006869),APOM,Apolipoprotein M,%,,,,,
P02746,protein,plasma,"Acute Inflammatory Response (GO:0002526), Complement Activation (GO:0006956)",C1QB,Complement C1q subcomponent subunit B,%,,,,,
P00736,protein,plasma,"Acute Inflammatory Response (GO:0002526), Complement Activation (GO:0006956)",C1R,Complement C1r subcomponent,%,,,,,
P09871,protein,plasma,"Acute Inflammatory Response (GO:0002526), Complement Activation (GO:0006956)",C1S,Complement C1s subcomponent,%,,,,,
P08185,protein,plasma,Steroid Metabolic Process (GO:0008202),SERPINA6,Corticosteroid-binding globulin,%,,,,,
P08571,protein,plasma,Neutrophil Degranulation (GO:0043312),CD14,Monocyte differentiation antigen CD14,%,,,,,
P00450,protein,plasma,Iron Ion Transport (GO:0006826),CP,Ceruloplasmin,%,,,,,
P08603,protein,plasma,"Acute Inflammatory Response (GO:0002526), Complement Activation (GO:0006956)",CFH,Complement factor H,%,,,,,
P06276,protein,plasma,Response to Folic Acid (GO:0051593),BCHE,Cholinesterase,%,,,,,
P10909,protein,plasma,"Complement Activation (GO:0006956), Lipid Transport (GO:0006869), Platelet Degranulation (GO:0002576)",CLU,Clusterin,%,,,,,
P06681,protein,plasma,"Acute Inflammatory Response (GO:0002526), Complement Activation (GO:0006956)",C2,Complement C2,%,,,,,
P01024,protein,plasma,"Acute Inflammatory Response (GO:0002526), Complement Activation (GO:0006956), Neutrophil Degranulation (GO:0043312)",C3,Complement C3,%,,,,,
P0C0L4,protein,plasma,"Acute Inflammatory Response (GO:0002526), Complement Activation (GO:0006956)",C4A,Complement C4-A,%,,,,,
P0C0L5,protein,plasma,"Acute Inflammatory Response (GO:0002526), Complement Activation (GO:0006956)",C4B,Complement C4-B,%,,,,,
P01031,protein,plasma,"Acute Inflammatory Response (GO:0002526), Complement Activation (GO:0006956), Leukocyte Migration (GO:0050900)",C5,Complement C5,%,,,,,
P13671,protein,plasma,"Acute Inflammatory Response (GO:0002526), Complement Activation (GO:0006956)",C6,Complement component C6,%,,,,,
P10643,protein,plasma,"Acute Inflammatory Response (GO:0002526), Complement Activation (GO:0006956)",C7,Complement component C7,%,,,,,
P07357,protein,plasma,"Acute Inflammatory Response (GO:0002526), Complement Activation (GO:0006956)",C8A,Complement component C8 alpha chain,%,,,,,
P07358,protein,plasma,"Acute Inflammatory Response (GO:0002526), Complement Activation (GO:0006956)",C8B,Complement component C8 beta chain,%,,,,,
P07360,protein,plasma,"Acute Inflammatory Response (GO:0002526), Complement Activation (GO:0006956)",C8G,Complement component C8 gamma chain,%,,,,,
P02748,protein,plasma,"Acute Inflammatory Response (GO:0002526), Complement Activation (GO:0006956)",C9,Complement component C9,%,,,,,
P05160,protein,plasma,Blood Coagulation (GO:0007596),F13B,Coagulation factor XIII B chain,%,,,,,
P00748,protein,plasma,"Acute Inflammatory Response (GO:0002526), Blood Coagulation (GO:0007596)",F12,Coagulation factor XII,%,,,,,
P00740,protein,plasma,Blood Coagulation (GO:0007596),F9,Coagulation factor IX,%,,,,,
P23142,protein,plasma,"Blood Coagulation (GO:0007596),                   Cell Adhesion (GO:0007155)",FBLN1,Fibulin-1,%,,,,,
O75636,protein,plasma,Complement Activation (GO:0006956),FCN3,Ficolin-3,%,,,,,
P02671,protein,plasma,"Blood Coagulation (GO:0007596), Cell Adhesion (GO:0007155), Hormone Transport (GO:0009914), Platelet Degranulation (GO:0002576)",FGA,Fibrinogen alpha chain,%,,,,,
P02751,protein,plasma,"Acute Inflammatory Response (GO:0002526), Blood Coagulation (GO:0007596), Cell Adhesion (GO:0007155), Leukocyte Migration (GO:0050900), Platelet Degranulation (GO:0002576)",FN1,Fibronectin,%,,,,,
P35573,protein,plasma,Neutrophil Degranulation (GO:0043312),AGL,Glycogen debranching enzyme,%,,,,,
P06396,protein,plasma,"Cell Adhesion (GO:0007155), Cellular Response to Metal Ion (GO:0071248), Neutrophil Degranulation (GO:0043312), Response to Folic Acid (GO:0051593)",GSN,Gelsolin,%,,,,,
P68871,protein,plasma,"Blood Coagulation (GO:0007596), Cell Adhesion (GO:0007155), Neutrophil Degranulation (GO:0043312)",HBB,Hemoglobin subunit beta,%,,,,,
P02790,protein,plasma,Iron Ion Transport (GO:0006826),HPX,Hemopexin,%,,,,,
Q04756,protein,plasma,Blood Coagulation (GO:0007596),HGFAC,Hepatocyte growth factor activator,%,,,,,
P26927,protein,plasma,Leukocyte Migration (GO:0050900),MST1,Hepatocyte growth factor-like protein,%,,,,,
P00738,protein,plasma,"Acute Inflammatory Response (GO:0002526), Neutrophil Degranulation (GO:0043312)",HP,Haptoglobin,%,,,,,
P00739,protein,plasma,Acute Inflammatory Response (GO:0002526),HPR,Haptoglobin-related protein,%,,,,,
P04196,protein,plasma,"Blood Coagulation (GO:0007596), Cell Adhesion (GO:0007155), Iron Ion Transport (GO:0006826), Platelet Degranulation (GO:0002576)",HRG,Histidine-rich glycoprotein,%,,,,,
P05155,protein,plasma,"Acute Inflammatory Response (GO:0002526), Blood Coagulation (GO:0007596), Complement Activation (GO:0006956), Platelet Degranulation (GO:0002576)",SERPING1,Plasma protease C1 inhibitor,%,,,,,
P01344,protein,plasma,"Cell Adhesion (GO:0007155), Platelet Degranulation (GO:0002576)",IGF2,Insulin-like growth factor II,%,,,,,
P01876,protein,plasma,"Complement Activation (GO:0006956), Leukocyte Migration (GO:0050900)",IGHA1,Immunoglobulin heavy constant alpha 1,%,,,,,
P01859,protein,plasma,"Acute Inflammatory Response (GO:0002526), Complement Activation (GO:0006956)",IGHG2,Immunoglobulin heavy constant gamma 2,%,,,,,
P01860,protein,plasma,"Acute Inflammatory Response (GO:0002526), Complement Activation (GO:0006956)",IGHG3,Immunoglobulin heavy constant gamma 3,%,,,,,
P01861,protein,plasma,"Acute Inflammatory Response (GO:0002526), Complement Activation (GO:0006956)",IGHG4,Immunoglobulin heavy constant gamma 4,%,,,,,
P19827,protein,plasma,Glycosaminoglycan Metabolic Process (GO:0030203),ITIH1,Inter-alpha-trypsin inhibitor heavy chain H1,%,,,,,
P19823,protein,plasma,Glycosaminoglycan Metabolic Process (GO:0030203),ITIH2,Inter-alpha-trypsin inhibitor heavy chain H2,%,,,,,
Q06033,protein,plasma,"Glycosaminoglycan Metabolic Process (GO:0030203), Platelet Degranulation (GO:0002576)",ITIH3,Inter-alpha-trypsin inhibitor heavy chain H3,%,,,,,
Q14624,protein,plasma,"Acute Inflammatory Response (GO:0002526), Glycosaminoglycan Metabolic Process (GO:0030203), Platelet Degranulation (GO:0002576)",ITIH4,Inter-alpha-trypsin inhibitor heavy chain H4,%,,,,,
P29622,protein,plasma,Platelet Degranulation (GO:0002576),SERPINA4,Kallistatin,%,,,,,
P03952,protein,plasma,"Acute Inflammatory Response (GO:0002526), Blood Coagulation (GO:0007596)",KLKB1,Plasma kallikrein,%,,,,,
P01042,protein,plasma,"Blood Coagulation (GO:0007596), Cell Adhesion (GO:0007155), Platelet Degranulation (GO:0002576)",KNG1,Kininogen-1,%,,,,,
P01619,protein,plasma,"Acute Inflammatory Response (GO:0002526), Complement Activation (GO:0006956), Leukocyte Migration (GO:0050900)",IGKV3-20,Immunoglobulin kappa variable 3-20,%,,,,,
P06312,protein,plasma,"Acute Inflammatory Response (GO:0002526), Complement Activation (GO:0006956), Leukocyte Migration (GO:0050900)",IGKV4-1,Immunoglobulin kappa variable 4-1,%,,,,,
P04180,protein,plasma,"Lipid Transport (GO:0006869), Steroid Metabolic Process (GO:0008202)",LCAT,Phosphatidylcholine-sterol acyltransferase,%,,,,,
P01714,protein,plasma,"Acute Inflammatory Response (GO:0002526), Complement Activation (GO:0006956), Leukocyte Migration (GO:0050900)",IGLV3-19,Immunoglobulin lambda variable 3-19,%,,,,,
P36955,protein,plasma,Cellular Response to Metal Ion (GO:0071248),SERPINF1,Pigment epithelium-derived factor,%,,,,,
Q96PD5,protein,plasma,Glycosaminoglycan Metabolic Process (GO:0030203),PGLYRP2,N-acetylmuramoyl-L-alanine amidase,%,,,,,
P80108,protein,plasma,"Cellular Response to Metal Ion (GO:0071248), Hormone Transport (GO:0009914)",GPLD1,Phosphatidylinositol-glycan-specific phospholipase D,%,,,,,
P00747,protein,plasma,"Blood Coagulation (GO:0007596), Cell Adhesion (GO:0007155), Leukocyte Migration (GO:0050900), Platelet Degranulation (GO:0002576)",PLG,Plasminogen,%,,,,,
P07225,protein,plasma,"Acute Inflammatory Response (GO:0002526), Blood Coagulation (GO:0007596), Complement Activation (GO:0006956), Leukocyte Migration (GO:0050900), Platelet Degranulation (GO:0002576)",PROS1,Vitamin K-dependent protein S,%,,,,,
P35542,protein,plasma,Acute Inflammatory Response (GO:0002526),SAA4,Serum amyloid A-4 protein,%,,,,,
P05543,protein,plasma,Hormone Transport (GO:0009914),SERPINA7,Thyroxine-binding globulin,%,,,,,
P00734,protein,plasma,"Blood Coagulation (GO:0007596), Complement Activation (GO:0006956), Leukocyte Migration (GO:0050900)",F2,Prothrombin,%,,,,,
P02787,protein,plasma,"Cellular Response to Metal Ion (GO:0071248), Iron Ion Transport (GO:0006826), Platelet Degranulation (GO:0002576)",TF,Serotransferrin,%,,,,,
P02766,protein,plasma,"Hormone Transport (GO:0009914), Neutrophil Degranulation (GO:0043312)",TTR,Transthyretin,%,,,,,
P02774,protein,plasma,Steroid Metabolic Process (GO:0008202),GC,Vitamin D-binding protein,%,,,,,
